iter	Passed	Remaining
667	1164	578
668	1166	577
669	1168	575
670	1170	573
671	1171	571
672	1173	570
673	1175	568
674	1177	566
675	1179	565
676	1180	563
677	1182	561
678	1184	560
679	1186	558
680	1187	556
681	1189	554
682	1191	552
683	1192	551
684	1194	549
685	1196	547
686	1197	545
687	1199	543
688	1200	542
689	1202	540
690	1205	539
691	1207	537
692	1209	535
693	1210	533
694	1212	532
695	1214	530
696	1216	528
697	1218	527
698	1220	525
699	1221	523
700	1223	521
701	1224	519
702	1226	517
703	1228	516
704	1229	514
705	1231	512
706	1232	510
707	1234	509
708	1236	507
709	1238	505
710	1239	503
711	1241	502
712	1243	500
713	1245	498
714	1246	496
715	1248	495
716	1249	493
717	1251	491
718	1252	489
719	1254	487
720	1255	485
721	1257	484
722	1258	482
723	1260	480
724	1262	478
725	1264	477
726	1265	475
727	1267	473
728	1269	471
729	1270	470
730	1272	468
731	1274	466
732	1276	464
733	1277	463
734	1278	461
735	1280	459
736	1282	457
737	1284	455
738	1285	454
739	1287	452
740	1288	450
741	1290	448
742	1292	447
743	1293	445
744	1295	443
745	1296	441
746	1298	439
747	1300	438
748	1301	436
749	1302	434
750	1304	432
751	1306	430
752	1307	428
753	1309	427
754	1310	425
755	1311	423
756	1313	421
757	1315	419
758	1316	418
759	1317	416
760	1319	414
761	1321	412
762	1323	410
763	1324	409
764	1326	407
765	1328	405
766	1329	403
767	1331	402
768	1333	400
769	1335	398
770	1337	397
771	1339	395
772	1340	393
773	1341	391
774	1343	389
775	1344	388
776	1347	386
777	1349	385
778	1352	383
779	1353	381
780	1355	380
781	1356	378
782	1358	376
783	1359	374
784	1361	372
785	1363	371
786	1365	369
787	1368	368
788	1370	366
789	1371	364
790	1373	363
791	1375	361
792	1377	359
793	1379	357
794	1381	356
795	1384	354
796	1385	352
797	1387	351
798	1388	349
799	1389	347
800	1391	345
801	1393	343
802	1395	342
803	1396	340
804	1398	338
805	1400	337
806	1402	335
807	1403	333
808	1405	331
809	1406	329
810	1408	328
811	1410	326
812	1411	324
813	1414	323
814	1416	321
815	1417	319
816	1419	317
817	1420	316
818	1422	314
819	1424	312
820	1426	311
821	1428	309
822	1429	307
823	1432	305
824	1434	304
825	1435	302
826	1437	300
827	1438	298
828	1440	297
829	1442	295
830	1443	293
831	1445	291
832	1447	290
833	1448	288
834	1450	286
835	1451	284
836	1452	282
837	1454	281
838	1456	279
839	1458	277
840	1460	276
841	1462	274
842	1464	272
843	1465	270
844	1466	269
845	1468	267
846	1469	265
847	1472	263
848	1473	262
849	1475	260
850	1477	258
851	1479	256
852	1480	255
853	1482	253
854	1483	251
855	1485	249
856	1487	248
857	1489	246
858	1490	244
859	1491	242
860	1493	241
861	1495	239
862	1497	237
863	1498	235
864	1500	234
865	1502	232
866	1503	230
867	1504	228
868	1506	227
869	1508	225
870	1509	223
871	1511	221
872	1512	220
873	1514	218
874	1515	216
875	1517	214
876	1519	213
877	1520	211
878	1522	209
879	1524	207
880	1525	206
881	1527	204
882	1528	202
883	1530	200
884	1531	199
885	1533	197
886	1535	195
887	1536	193
888	1537	192
889	1539	190
890	1541	188
891	1543	186
892	1544	185
893	1545	183
894	1547	181
895	1549	179
896	1551	178
897	1552	176
898	1554	174
899	1556	172
900	1558	171
901	1559	169
902	1560	167
903	1562	165
904	1564	164
905	1566	162
906	1567	160
907	1568	158
908	1570	157
909	1572	155
910	1573	153
911	1575	151
912	1576	150
913	1578	148
914	1579	146
915	1581	145
916	1582	143
917	1584	141
918	1585	139
919	1587	138
920	1589	136
921	1590	134
922	1592	132
923	1593	131
924	1595	129
925	1597	127
926	1598	125
927	1600	124
928	1602	122
929	1604	120
930	1605	118
931	1606	117
932	1608	115
933	1609	113
934	1611	112
935	1613	110
936	1615	108
937	1616	106
938	1619	105
939	1620	103
940	1622	101
941	1624	100
942	1625	98
943	1627	96
944	1629	94
945	1630	93
946	1631	91
947	1633	89
948	1635	87
949	1637	86
950	1638	84
951	1639	82
952	1641	80
953	1643	79
954	1646	77
955	1648	75
956	1650	74
957	1651	72
958	1653	70
959	1654	68
960	1655	67
961	1657	65
962	1659	63
963	1660	62
964	1662	60
965	1664	58
966	1666	56
967	1668	55
968	1669	53
969	1670	51
970	1672	49
971	1674	48
972	1675	46
973	1677	44
974	1678	43
975	1679	41
976	1681	39
977	1683	37
978	1684	36
979	1686	34
980	1687	32
981	1689	30
982	1691	29
983	1693	27
984	1694	25
985	1696	24
986	1698	22
987	1699	20
988	1701	18
989	1702	17
990	1704	15
991	1706	13
992	1708	12
993	1709	10
994	1712	8
995	1714	6
996	1715	5
997	1716	3
998	1718	1
999	1720	0
